genre_id,genre
1,International TV Shows
2,Documentaries
3,Comedies
4,Dramas
5,Kids' TV
6,Crime TV Shows
7,Reality TV
8,Action & Adventure
9,Docuseries
10,Children & Family Movies
11,Anime Series
12,TV Comedies
13,Stand-Up Comedy
14,Movies
15,Thrillers
16,TV Dramas
17,Horror Movies
18,Classic Movies
19,Cult Movies
20,British TV Shows
21,Anime Features
22,International Movies
23,TV Action & Adventure
24,Sci-Fi & Fantasy
25,TV Horror
26,Classic & Cult TV
27,Stand-Up Comedy & Talk Shows
28,Romantic TV Shows
29,TV Shows
30,Romantic Movies
31,Independent Movies
32,Music & Musicals
33,Spanish-Language TV Shows
34,Sports Movies
35,TV Sci-Fi & Fantasy
36,Korean TV Shows
37,Teen TV Shows
38,Science & Nature TV
39,Faith & Spirituality
40,TV Thrillers
41,TV Mysteries
42,LGBTQ Movies
