show_id;title;synopsis;release_year;date_added;duration;content_type_id_fk;rating_id_fk
81193313;Chocolate;Brought together by meaningful meals in the past and present a doctor and a chef are reacquainted when they begin working at a hospice ward.;2019;2019-11-30;1 Season;1;1
81197050;Guatemala: Heart of the Mayan World;From Sierra de las Minas to Esquipulas explore Guatemala's cultural and geological wealth including ancient Mayan cities and other natural wonders.;2019;2019-11-30;67 min;2;2
81213894;The Zoya Factor;A goofy copywriter unwittingly convinces the Indian cricket team that she’s their lucky mascot to the dismay of their superstition-shunning captain.;2019;2019-11-30;135 min;2;1
81082007;Atlantics;Arranged to marry a rich man young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.;2019;2019-11-29;106 min;2;1
80213643;Chip and Potato;Lovable pug Chip starts kindergarten makes new friends and tries new things – with a little help from Potato her secret mouse pal.;2019;1900-01-01;2 Seasons;1;3
81172754;Crazy people;Nollywood star Ramsey Nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.;2018;2019-11-29;107 min;2;1
81120982;I Lost My Body;Romance mystery and adventure intertwine as a young man falls in love and a severed hand scours Paris for its owner in this mesmerizing animated film.;2019;2019-11-29;81 min;2;4
81227195;Kalushi: The Story of Solomon Mahlangu;The life and times of iconic South African liberation fighter Solomon Mahlangu who battled the forces of apartheid come into focus.;2016;2019-11-29;107 min;2;4
70205672;La Reina del Sur;This compelling show tells the story of the legendary Teresa Mendoza a courageous woman who is perceived as conquering the world of drug trafficking.;2019;1900-01-01;2 Seasons;1;1
81172841;Lagos Real Fake Life;Two mooching friends vie for the attention of wealthy beautiful women only to discover that their lavish lifestyles are bogus.;2018;2019-11-29;118 min;2;1
81172899;Payday;After an expensive night out two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlord's daughter.;2018;2019-11-29;110 min;2;4
81094391;Sugar Rush Christmas;"It's everything you love about ""Sugar Rush"" – with a holly jolly holiday twist – in this Christmas-themed spin on competitive baking.";2019;2019-11-29;1 Season;1;5
81172908;The Accidental Spy;Nursing a broken heart an IT specialist moves to London to audition for a reality TV show that unexpectedly turns into a real-life cartel drama.;2017;2019-11-29;104 min;2;1
81152641;The Charming Stepmom;A quirky fashion student becomes the nanny of a handsome widower’s three kids experiencing a series of silly antics and schemes.;2019;2019-11-29;1 Season;1;1
81172901;The Island;When a colonel uncovers controversial intel about the government he makes a shocking discovery and must decide whether to reveal it or risk his life.;2018;2019-11-29;93 min;2;1
80990849;The Movies That Made Us;These blockbusters brought us together and gave us the time of our lives. Meet the actors directors and industry insiders who made them happen.;2019;2019-11-29;1 Season;1;4
81033086;Holiday Rush;A widowed radio DJ and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before Christmas.;2019;2019-11-28;94 min;2;5
80156799;Levius;Young Levius rises through the ranks in the brutal world of metal boxing under his uncle's guidance. Forces outside the ring have their eye on him.;2019;2019-11-28;1 Season;1;1
81161538;Lugar de Mulher;Four comedians from Brazil riff on sexuality politics religion and motherhood – and set out to prove a woman's place is anywhere she wants it to be.;2019;2019-11-28;1 Season;1;4
80997965;Merry Happy Whatever;A struggling LA musician tries to win over his new girlfriend's gruff dad and quirky tight-knit siblings on a 10-day Christmas visit to Philadelphia.;2019;2019-11-28;1 Season;1;5
81018979;Mythomaniac;Burned out and taken for granted a working mom suspects her partner is cheating so to win back his attentions she feigns a medical diagnosis.;2019;2019-11-28;1 Season;1;4
60020826;The Score;Ready-to-retire safecracker Nick flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.;2001;2019-11-28;124 min;2;6
81002391;Broken;This investigative docuseries shows how negligence and deceit in the production and marketing of popular consumer items can result in dire outcomes.;2019;2019-11-27;1 Season;1;1
70101696;Defiance;In this action-packed drama based on an extraordinary true story four brothers protect more than 1000 Jewish refugees during World War II.;2008;2019-11-27;137 min;2;6
81194544;Evvarikee Cheppoddu;When caste differences throw a wrench into their otherwise blossoming relationship a couple must somehow convince the girl’s father to let them marry.;2019;2019-11-27;134 min;2;1
80995081;Little Singham: Mahabali;In a journey back in time to the ancient city of Mirchigadh Little Singham vies for the title of Ultimate Warrior and fights a zombie king’s army.;2019;2019-11-27;69 min;2;7
